epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,381.545,1.01597,0.54315,0.8829,0.92254,0.89927,0.92123,0.50251,1.18868,0.58226,0.93971,0.00171488,0.00171488,0.00171488
146,383.964,1.02378,0.54598,0.89926,0.92521,0.9057,0.93295,0.55065,1.1449,0.57031,0.92949,0.0017129,0.0017129,0.0017129
147,386.649,1.03585,0.54667,0.88706,0.92833,0.90993,0.93271,0.53645,1.2104,0.578,0.94182,0.00171092,0.00171092,0.00171092
148,389.212,1.02923,0.54021,0.89857,0.92621,0.90111,0.92674,0.5216,1.19453,0.57604,0.94026,0.00170894,0.00170894,0.00170894
149,391.703,1.05714,0.55432,0.89453,0.92825,0.91243,0.93317,0.51983,1.22367,0.57132,0.94332,0.00170696,0.00170696,0.00170696
150,394.167,1.02346,0.54001,0.89138,0.92672,0.9113,0.93228,0.5193,1.20817,0.57171,0.94304,0.00170498,0.00170498,0.00170498
151,396.613,0.99179,0.54538,0.89332,0.92168,0.90662,0.92614,0.51282,1.19201,0.56949,0.936,0.001703,0.001703,0.001703
152,399.29,1.00987,0.55447,0.90029,0.91326,0.89766,0.90726,0.4505,1.26494,0.60034,0.95141,0.00170102,0.00170102,0.00170102
153,401.865,1.02322,0.55773,0.89411,0.89995,0.88923,0.89258,0.4463,1.24219,0.59932,0.94868,0.00169904,0.00169904,0.00169904
154,404.276,1.04902,0.55445,0.90283,0.92304,0.90557,0.92417,0.50555,1.20211,0.58233,0.93812,0.00169706,0.00169706,0.00169706
155,406.869,1.01971,0.5227,0.88075,0.92419,0.90456,0.92562,0.51172,1.2148,0.57621,0.94388,0.00169508,0.00169508,0.00169508
156,409.352,1.04889,0.5602,0.89223,0.92047,0.8923,0.91327,0.49022,1.30146,0.58947,0.95483,0.0016931,0.0016931,0.0016931
157,411.971,1.14124,0.58717,0.89883,0.89383,0.87658,0.88356,0.43915,1.32151,0.61973,0.97116,0.00169112,0.00169112,0.00169112
158,414.49,1.14343,0.58603,0.92009,0.89895,0.88578,0.89472,0.43203,1.30306,0.61866,0.96843,0.00168914,0.00168914,0.00168914
